Geoid,tract,ResidentalBuildings,ResidentialVacancies,percent of vacant properties
42003010300,10300,853,62,0.072684642
42003020100,20100,4337,27,0.006225501
42003020300,20300,621,21,0.033816425
42003030500,30500,1582,55,0.034766119
42003040200,40200,987,24,0.024316109
42003040400,40400,1548,74,0.047803618
42003040500,40500,2700,17,0.006296296
42003040600,40600,1185,31,0.026160338
42003040900,40900,1496,73,0.048796791
42003050100,50100,1473,159,0.107942974
42003050600,50600,1285,123,0.095719844
42003050900,50900,878,117,0.133257403
42003051000,51000,838,65,0.077565632
42003051100,51100,214,0,0
42003060300,60300,1565,99,0.063258786
42003060500,60500,833,70,0.084033613
42003070300,70300,1688,18,0.010663507
42003070500,70500,1997,41,0.020530796
42003070600,70600,1441,43,0.029840389
42003070800,70800,1307,10,0.007651109
42003070900,70900,3016,13,0.004310345
42003080200,80200,1012,39,0.038537549
42003080400,80400,1237,23,0.018593371
42003080600,80600,1223,22,0.017988553
42003080700,80700,1226,44,0.03588907
42003080900,80900,1158,51,0.044041451
42003090100,90100,1228,85,0.069218241
42003090200,90200,1622,45,0.027743527
42003090300,90300,995,63,0.063316583
42003100500,100500,964,19,0.019709544
42003101100,101100,1461,63,0.04312115
42003101400,101400,1660,45,0.027108434
42003101600,101600,584,18,0.030821918
42003101700,101700,926,75,0.080993521
42003101800,101800,1271,34,0.02675059
42003110200,110200,2241,106,0.047300312
42003110600,110600,1091,20,0.018331806
42003111300,111300,1561,101,0.064702114
42003111400,111400,754,77,0.102122016
42003111500,111500,3206,81,0.025265128
42003120300,120300,992,140,0.141129032
42003120400,120400,607,71,0.116968699
42003120700,120700,594,49,0.082491582
42003120800,120800,610,77,0.126229508
42003130100,130100,1250,238,0.1904
42003130200,130200,789,122,0.154626109
42003130300,130300,1017,94,0.092428712
42003130400,130400,804,138,0.171641791
42003130600,130600,1660,116,0.069879518
42003140100,140100,1095,5,0.00456621
42003140200,140200,1346,58,0.043090639
42003140300,140300,1620,13,0.008024691
42003140400,140400,1009,11,0.010901883
42003140500,140500,1155,41,0.035497835
42003140600,140600,1435,27,0.018815331
42003140800,140800,1992,10,0.00502008
42003141000,141000,435,7,0.016091954
42003141100,141100,633,8,0.012638231
42003141300,141300,3126,6,0.001919386
42003141400,141400,2933,12,0.004091374
42003151600,151600,1257,49,0.038981702
42003151700,151700,2545,32,0.012573674
42003160800,160800,1510,111,0.073509934
42003160900,160900,2073,102,0.049204052
42003170200,170200,2832,122,0.043079096
42003170600,170600,1137,134,0.117854002
42003180300,180300,1431,183,0.1278826
42003180700,180700,1196,89,0.074414716
42003190300,190300,1250,76,0.0608
42003191100,191100,1452,68,0.046831956
42003191400,191400,1808,158,0.087389381
42003191500,191500,1225,181,0.147755102
42003191600,191600,2112,140,0.066287879
42003191700,191700,1641,28,0.017062767
42003191800,191800,2584,53,0.020510836
42003191900,191900,1104,32,0.028985507
42003192000,192000,1774,75,0.042277339
42003202200,202200,1300,78,0.06
42003202300,202300,2209,12,0.005432322
42003210700,210700,1865,68,0.036461126
42003220600,220600,1190,35,0.029411765
42003240600,240600,1885,49,0.025994695
42003241200,241200,602,31,0.051495017
42003250300,250300,752,24,0.031914894
42003250700,250700,443,15,0.033860045
42003250900,250900,763,35,0.04587156
42003260200,260200,1096,66,0.060218978
